addr	symbol	size	class	source	status	fuzzy	alternatives
00171848	func_00171848	80	branchy	lift	exact	100.00	m2c:exact:100.0;ghidra:near:94.29;e3:near:27.04
00171910	func_00171910	32	float	lift	exact	100.00	m2c:exact:100.0;corpus:near:74.75;ghidra:near:74.38
00171930	func_00171930	48	straight	lift	near	64.50	ghidra:near:32.92;m2c:near:27.07
00171a40	func_00171a40	48	float	lift	exact	100.00	m2c:near:66.17;ghidra:near:55.75
00171a70	func_00171a70	88	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:compile:0.0
00171c60	func_00171c60	92	branchy	lift	near	85.38	m2c:near:82.79;ghidra:near:80.65
00171e58	_ZN2YS20trap_obj_leave_forceEP8BD_VALUE	44	straight	lift	exact	100.00	m2c:near:99.09;ghidra:near:78.36;e3:near:38.59
00171ea8	func_00171ea8	88	float	lift	near	86.55	m2c:near:56.31;ghidra:near:51.15
00171fa8	func_00171fa8	96	branchy	ghidra	near	21.83	m2c:near:8.62
00172078	func_00172078	44	float	lift	near	79.55	m2c:near:79.55;ghidra:near:61.09
00172158	func_00172158	124	float	lift	near	80.62	ghidra:near:79.74;m2c:near:76.62
001721d8	_ZN2YS20trap_obj_jump_directEP8BD_VALUE	52	straight	lift	exact	100.00	ghidra:near:98.46;m2c:near:98.46;e3:near:40.24
00172260	func_00172260	132	float	lift	near	76.00	m2c:near:68.55;ghidra:near:68.39
001722e8	func_001722e8	124	float	lift	near	80.62	ghidra:near:79.74;m2c:near:76.62
00172368	func_00172368	52	float	m2c	near	38.69	lift:near:38.08;ghidra:near:32.69
001723d0	_ZN2YS13trap_obj_idleEP8BD_VALUE	56	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:exact:100.0;e3:near:28.4
00172440	func_00172440	68	float	lift	exact	100.00	m2c:exact:100.0;ghidra:near:82.41;e3:near:6.19
001727c8	func_001727c8	52	float	lift	exact	100.00	m2c:exact:100.0;ghidra:near:58.62
00172830	func_00172830	36	float	lift	exact	100.00	m2c:exact:100.0;ghidra:near:76.11
00172890	func_00172890	76	branchy	twins	exact	100.00	lift:near:84.42;m2c:near:60.04;ghidra:near:46.47
00172928	func_00172928	92	float	ghidra	near	94.13	lift:near:82.61;m2c:near:66.48;e3:near:30.02
00172a10	func_00172a10	64	branchy	lift	exact	100.00	m2c:exact:100.0;ghidra:near:93.53;e3:near:30.17
00172a80	func_00172a80	96	branchy	lift	exact	100.00	m2c:exact:100.0;ghidra:near:91.67
00172ae0	_ZN2YS15trap_obj_add_hpEP8BD_VALUE	72	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:exact:100.0;e3:near:40.38
00172ba8	_ZN2gm24trap_obj_search_by_entryEP8BD_VALUE	48	straight	lift	exact	100.00	ghidra:exact:100.0;m2c:exact:100.0;e3:near:49.42
00172bd8	_ZN2YS25trap_obj_search_by_serialEP8BD_VALUE	48	straight	lift	exact	100.00	e3:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
00172c08	_ZN2YS23trap_obj_search_by_partEP8BD_VALUE	48	straight	lift	exact	100.00	e3:exact:100.0;ghidra:exact:100.0;m2c:exact:100.0
