ee_addr	ppc_addr	votes	c_ident	mangled	demangled	dwarf_type
0035edcc	007fe090	7.0	Tz__TTPT__m_MenuPtr	_ZN2Tz4TTPT9m_MenuPtrE	Tz::TTPT::m_MenuPtr	Tz::Select *
0035edd4	007fe098	7.0	Tz__TTPT__m_Lay	_ZN2Tz4TTPT5m_LayE	Tz::TTPT::m_Lay	Tz::Layout *
0035edd8	007fe0a0	5.0	Tz__TTPT__m_LayBg2	_ZN2Tz4TTPT8m_LayBg2E	Tz::TTPT::m_LayBg2	Tz::Layout *
0035eddc	007fe0a4	6.0	Tz__TTPT__m_LayPic	_ZN2Tz4TTPT8m_LayPicE	Tz::TTPT::m_LayPic	Tz::Layout *
0035edf0	00b5ffd4	2.0	Tz__TTPT__m_FadeWait	_ZN2Tz4TTPT10m_FadeWaitE	Tz::TTPT::m_FadeWait	BOOL_1
0035edf4	00b5ffd0	2.0	Tz__TTPT__m_MenuType	_ZN2Tz4TTPT10m_MenuTypeE	Tz::TTPT::m_MenuType	int
0035edfc	00b5ffd5	3.0	Tz__TTPT__m_NewInfo	_ZN2Tz4TTPT9m_NewInfoE	Tz::TTPT::m_NewInfo	char
0035ee04	007fe07c	6.0	Tz__TTMY__m_MenuPtr	_ZN2Tz4TTMY9m_MenuPtrE	Tz::TTMY::m_MenuPtr	Tz::Select *
0035ee34	007fe018	8.0	Tz__LMMU__m_MenuPtr	_ZN2Tz4LMMU9m_MenuPtrE	Tz::LMMU::m_MenuPtr	Tz::Select *
0035ee38	007fe01c	4.0	Tz__LMMU__m_SelPtr	_ZN2Tz4LMMU8m_SelPtrE	Tz::LMMU::m_SelPtr	Tz::Select *
0035ee3c	007fe020	8.0	Tz__LMMU__m_Lay	_ZN2Tz4LMMU5m_LayE	Tz::LMMU::m_Lay	Tz::Layout *
0035ee40	007fe024	6.0	Tz__LMMU__m_LayBg2	_ZN2Tz4LMMU8m_LayBg2E	Tz::LMMU::m_LayBg2	Tz::Layout *
0035ee44	007fe028	7.0	Tz__LMMU__m_LayPic	_ZN2Tz4LMMU8m_LayPicE	Tz::LMMU::m_LayPic	Tz::Layout *
0035ee48	007fe030	3.0	Tz__LMMU__m_New	_ZN2Tz4LMMU5m_NewE	Tz::LMMU::m_New	dk::Sprite *
0035ee4c	007fe02c	5.0	Tz__LMMU__m_HelpMsg	_ZN2Tz4LMMU9m_HelpMsgE	Tz::LMMU::m_HelpMsg	Tz::SmHelpMsg *
0035ee50	00b5fb58	4.0	Tz__LMMU__m_FadeWait	_ZN2Tz4LMMU10m_FadeWaitE	Tz::LMMU::m_FadeWait	BOOL_1
0035ee51	00b5fb59	3.0	Tz__LMMU__m_NewInfo	_ZN2Tz4LMMU9m_NewInfoE	Tz::LMMU::m_NewInfo	char
0035ee58	007fdf88	7.0	Tz__CANA__m_MenuPtr	_ZN2Tz4CANA9m_MenuPtrE	Tz::CANA::m_MenuPtr	Tz::Select *
0035ee5c	007fdf8c	5.0	Tz__CANA__m_SelPtr	_ZN2Tz4CANA8m_SelPtrE	Tz::CANA::m_SelPtr	Tz::Select *
0035ee60	007fdf90	9.0	Tz__CANA__m_Lay	_ZN2Tz4CANA5m_LayE	Tz::CANA::m_Lay	Tz::Layout *
0035ee64	007fdf94	3.0	Tz__CANA__m_Title	_ZN2Tz4CANA7m_TitleE	Tz::CANA::m_Title	Tz::LayMsg *
0035ee68	007fdf98	4.0	Tz__CANA__m_Help	_ZN2Tz4CANA6m_HelpE	Tz::CANA::m_Help	dk::SpriteMessage *
0035ee6c	007fdf9c	3.0	Tz__CANA__m_MapBP	_ZN2Tz4CANA7m_MapBPE	Tz::CANA::m_MapBP	Tz::LaySeq *
0035ee70	007fdfa0	5.0	Tz__CANA__m_NewMark	_ZN2Tz4CANA9m_NewMarkE	Tz::CANA::m_NewMark	Tz::LaySeq *
0035ee74	007fdfa4	3.0	Tz__CANA__m_NextMark	_ZN2Tz4CANA10m_NextMarkE	Tz::CANA::m_NextMark	Tz::LaySeq *
0035ee78	007fdfa8	3.0	Tz__CANA__m_Ship	_ZN2Tz4CANA6m_ShipE	Tz::CANA::m_Ship	Tz::LaySeq *
0035ee7c	007fdfac	4.0	Tz__CANA__m_Gra	_ZN2Tz4CANA5m_GraE	Tz::CANA::m_Gra	dk::Sprite *
0035ee80	007fdfb0	3.0	Tz__CANA__m_Base	_ZN2Tz4CANA6m_BaseE	Tz::CANA::m_Base	dk::Sprite *
0035ee9c	007fdf70	5.0	Tz__ALCA__m_LayList	_ZN2Tz4ALCA9m_LayListE	Tz::ALCA::m_LayList	short *
0035eea0	00b5f538	4.0	Tz__ALCA__m_LayListMax	_ZN2Tz4ALCA12m_LayListMaxE	Tz::ALCA::m_LayListMax	short
0035eea4	007fdf74	7.0	Tz__ALCA__m_Lay	_ZN2Tz4ALCA5m_LayE	Tz::ALCA::m_Lay	Tz::Layout *
0035eea8	007fdf78	3.0	Tz__ALCA__m_Mess	_ZN2Tz4ALCA6m_MessE	Tz::ALCA::m_Mess	dk::SpriteMessage *
