ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
00192cc0	296	switch	near	ghidra	84.30	0044cc5c	_ZN2YS7MESSAGE7SprintfEPcPKcz	YS::MESSAGE::Sprintf(char*, char const*, ...)		med
00196f00	296	float	near	lift	91.69	00427c48	_ZN2YS5EVENT5startEv	YS::EVENT::start()		sim-high
0019d5f8	296	branchy	near	m2c	93.35	00490f30	_ZN2YS5RECOM5startERNS_12COMMAND_SLOTE	YS::RECOM::start(YS::COMMAND_SLOT&)		sim-high
001a6658	296	loop	near	ghidra	73.58	00446a98	_ZN2YS5MAGIC8GetTableEi	YS::MAGIC::GetTable(int)		med
001a82f0	296	branchy	near	ghidra	70.41	004ab18c	_ZNK2YS8TREASURE5TABLE4_getEv	YS::TREASURE::TABLE::_get() const		high
001aca98	296	loop	near	lift	94.59	004bccc8	_ZN2YS11WINDOW_BASEC1ENS_4FONT4TYPEEiiiiii	YS::WINDOW_BASE::WINDOW_BASE(YS::FONT::TYPE, int, int, int, int, int, int)		sim-high
001b5460	296	loop	near	lift	92.33	0043fe68	_ZN2YS5LIMIT7destroyEv	YS::LIMIT::destroy()		med
001b72c0	296	branchy	near	m2c	84.19	0043bf48	_ZNK2YS7LEVELUP4execEiii	YS::LEVELUP::exec(int, int, int) const		med
001bd988	296	loop	near	lift	57.34	004810cc	_ZN2YS14PLAYER_COMMAND6decideEv	YS::PLAYER_COMMAND::decide()		high
0022f7c0	296	float	near	lift	66.96	002d1f40	_ZN2sa5EVENT16set_bin_seq_posiERNS_12BIN_SEQ_POSIEP4TASK	sa::EVENT::set_bin_seq_posi(sa::BIN_SEQ_POSI&, TASK*)		med
00240118	296	branchy	near	m2c	46.78	00368fb4	_ZN2Tz5MCard8GetFnameEPcii	Tz::MCard::GetFname(char*, int, int)		med
00245968	296	float	near	lift	92.80	003c43e0	_ZN2Tz4HECO9CreateObjEv	Tz::HECO::CreateObj()		med
00273cb8	296	loop	near	lift	60.40	0039ae5c	_ZN2Tz8CmCustom12ChageAbilityEi	Tz::CmCustom::ChageAbility(int)		med
002a40c8	296	loop	near	lift	66.85	0035f6a4	_ZN2Tz10JmTreasure11isExistListEv	Tz::JmTreasure::isExistList()		sim-sandwich
002c4390	296	branchy	near	lift	84.28	003e6fe8	_ZN2dk10mitem_drawEiijjPNS_13SpriteMessageE	dk::mitem_draw(int, int, unsigned int, unsigned int, dk::SpriteMessage*)		med
002dfe38	296	float	near	lift	91.89	006303e8	_ZN2Ti21ACTION_PO_JUMP_PLAYER12land_balloonEPN2YS3OBJES3_fi	Ti::ACTION_PO_JUMP_PLAYER::land_balloon(YS::OBJ*, YS::OBJ*, float, int)		med
002e9690	296	loop	near	lift	76.76	0062ae90	_ZN2Ts5FLARE4InitEv	Ts::FLARE::Init()		seed
