ee_addr	size	class	cov_status	cov_source	cov_fuzzy	ppc_addr	mangled	demangled	decl_file	conf
002f1670	228	float	near	m2c	44.08	005ea4c8	_ZN2dk5Shake4execEv	dk::Shake::exec()		med
0031c368	228	loop	near	lift	81.73	006aa014	_ZN2dk5TIMERD0Ev	dk::TIMER::~TIMER()		sim-vt-high
00133078	224	loop	near	ghidra	91.59	0010f178	_ZN2kn10TEXAnmWork19getActiveTEXAnmWorkEPNS_13AnimationWorkEPPvjjS3_	kn::TEXAnmWork::getActiveTEXAnmWork(kn::AnimationWork*, void**, unsigned int, unsigned int, void*)		sim-med
00136878	224	branchy	near	ghidra	53.70	00045d58	_ZN2dk4BGSE16playBackGroundSeEv	dk::BGSE::playBackGroundSe()		sim-low
00143b88	224	branchy	near	lift	78.12	0006d7bc	_ZN2dk6Octree13intersectLineERNS_4LineERN2kn7FVectorERtRPNS_6ObjOccEi	dk::Octree::intersectLine(dk::Line&, kn::FVector&, unsigned short&, dk::ObjOcc*&, int)		high
001515b0	224	loop	near	lift	95.71	000b6bfc	_ZN2dk5TIMER10forceLeaveEv	dk::TIMER::forceLeave()		sim-low
00177c50	224	float	near	e3	67.17	004767e0	_ZN2YS5PARTY11_OVR_add_hpEiib	YS::PARTY::_OVR_add_hp(int, int, bool)		med
00184ad0	224	float	near	m2c	77.00	00471840	_ZN2YS3OBJ11turn_to_dirERKN2kn7FVectorEf	YS::OBJ::turn_to_dir(kn::FVector const&, float)		high
0019b180	224	loop	near	ghidra	27.89	004b19b4	_ZN2YS10UNIT_GROUP11exec_battleEv	YS::UNIT_GROUP::exec_battle()		med
001b1ee8	224	loop	near	lift	89.86	004391a8	_ZN2YS7ITEMPIC15ReadImageThreadEP4TASK	YS::ITEMPIC::ReadImageThread(TASK*)		high
001b2f38	224	loop	near	ghidra	87.36	004726f8	_ZN2YS6OBJOCC4initEPvb	YS::OBJOCC::init(void*, bool)		med
001cf9e0	224	branchy	near	lift	81.27	004ee104	_ZN2YS8NMPLAYER8set_lampEi	YS::NMPLAYER::set_lamp(int)		sim-high
001e7be0	224	loop	near	lift	79.38	005a65ec	_Z17pppAllFreePObjectP9_pppMngSt	pppAllFreePObject(_pppMngSt*)		sim-med
00244068	224	branchy	near	lift	97.81	003c0a4c	_ZN2Tz4HEFT7ControlEv	Tz::HEFT::Control()		med
00252fe8	224	branchy	near	lift	79.68	002ea9bc	_ZN2Tz8CampMenu4InitEi	Tz::CampMenu::Init(int)		med
00288670	224	branchy	near	lift	79.70	0036f198	_ZN2Tz9MenuBasic9StartFadeEPFvvE	Tz::MenuBasic::StartFade(void (*)())		med
0028aa40	224	loop	near	lift	88.62	00382610	_ZN2Tz6Select7FadeOutEv	Tz::Select::FadeOut()		high
0028bfc0	224	float	near	lift	95.36	0037de20	_ZN2Tz9ScrollBar6SetMaxEi	Tz::ScrollBar::SetMax(int)		med
0028d1c0	224	loop	near	lift	96.07	00367b94	_ZN2Tz8LightCur6CreateEiiiPNS_6LayoutEPKsii	Tz::LightCur::Create(int, int, int, Tz::Layout*, short const*, int, int)		high
0029ae40	224	switch	near	ghidra	90.50	0033e314	_ZN2Tz5JmDic5SetupEv	Tz::JmDic::Setup()		high
002ab020	224	loop	near	m2c	73.57	00345184	_ZN2Tz9JmNewInfo13CheckMiniGameEv	Tz::JmNewInfo::CheckMiniGame()		sim-med
002adaf0	224	loop	near	lift	73.62	00334e54	_ZN2Tz10JmComplete14isTreasureCompEi	Tz::JmComplete::isTreasureComp(int)		high
002e8d08	224	float	near	m2c	55.87	00623650	_ZN2Ts39trap_limit_aladdin_exclamation_mark_posEP8BD_VALUE	Ts::trap_limit_aladdin_exclamation_mark_pos(BD_VALUE*)		med
00132f98	220	loop	near	lift	88.38	0010efc8	_ZN2kn10TEXAnmWork19getActiveTEXAnmWorkEPNS_13AnimationWorkEjPPS0_jPv	kn::TEXAnmWork::getActiveTEXAnmWork(kn::AnimationWork*, unsigned int, kn::TEXAnmWork**, unsigned int, void*)		sim-med
00149de0	220	branchy	near	lift	96.49	000434bc	_ZN2dk4Area16cacheBuffDestroyEPK4AREA	dk::Area::cacheBuffDestroy(AREA const*)		med
0014ccb8	220	branchy	near	lift	38.31	0004979c	_ZN2dk5Clock15iupdatePlayTimeEv	dk::Clock::iupdatePlayTime()		sim-med
00179450	220	float	near	m2c	84.48	0047de20	_ZN2YS6PLAYER14ability_lkdashEv	YS::PLAYER::ability_lkdash()		med
0017e418	220	float	near	lift	87.29	00431640	_ZN2YS6FRIEND6AppearEPKNS_8OBJENTRYERKN2kn7FVectorEf	YS::FRIEND::Appear(YS::OBJENTRY const*, kn::FVector const&, float)		high
00189d38	220	branchy	near	lift	83.89	004d72c8	_ZN2YS6ANMATR13TriggerEffectEPNS_6MOTIONEPKNS0_7TRIGGERE	YS::ANMATR::TriggerEffect(YS::MOTION*, YS::ANMATR::TRIGGER const*)		sim-high
0018aba0	220	float	near	lift	66.53	004efc48	_ZN2YS3NPCC1EPKNS_8OBJENTRYEiRKN2kn7FVectorEf	YS::NPC::NPC(YS::OBJENTRY const*, int, kn::FVector const&, float)		sim-low
001b90f0	220	branchy	near	m2c	70.19	0041b9dc	_ZNK2YS12COMMAND_ELEM7can_useEPNS_6PLAYERE	YS::COMMAND_ELEM::can_use(YS::PLAYER*) const		high
001bcc28	220	loop	near	lift	80.43	0041c6a4	_ZN2YS12COMMAND_MENU13exec_shortcutEv	YS::COMMAND_MENU::exec_shortcut()		med
001d50b8	220	loop	near	ghidra	49.35	00414380	_ZN2YS7CA_SHIP10IsSkipAreaERK4AREARNS_6JUMPERE	YS::CA_SHIP::IsSkipArea(AREA const&, YS::JUMPER&)		sim-med
001d98a0	220	branchy	near	m2c	61.35	0040cdc4	_ZN2YS13BATTLE_REPORT15IsFMSecretMovieEv	YS::BATTLE_REPORT::IsFMSecretMovie()		sim-high
002325f0	220	branchy	near	ghidra	86.41	002bf978	_ZN2sa5EVENT18isTTPacheVoicePlayEPNS_7READ_WKE	sa::EVENT::isTTPacheVoicePlay(sa::READ_WK*)		sim-low
002331a0	220	straight	near	lift	92.69	002cdfdc	_ZN2sa5EVENT15motion_read_setEPcNS_11EVENT_ALLOC10ALLOC_TYPEEiii	sa::EVENT::motion_read_set(char*, sa::EVENT_ALLOC::ALLOC_TYPE, int, int, int)		med
002641c8	220	loop	near	lift	78.62	00320e18	_ZN2Tz9IShopInfo11AddItemDataEPNS0_7ShopTblEPtit	Tz::IShopInfo::AddItemData(Tz::IShopInfo::ShopTbl*, unsigned short*, int, unsigned short)		sim-low
00286418	220	loop	near	lift	79.29	003afcbc	_ZN2Tz8CmNewFlg9isStatNewEi	Tz::CmNewFlg::isStatNew(int)		sim-high
0028def0	220	loop	near	ghidra	82.29	0037712c	_ZN2Tz8MenuUtil15MakeQuestionStrEPci	Tz::MenuUtil::MakeQuestionStr(char*, int)		sim-high
002ab540	220	loop	near	lift	67.46	00349914	_ZN2Tz9JmNewInfo13isTreasureNewEi	Tz::JmNewInfo::isTreasureNew(int)		high
002ab8e8	220	loop	near	ghidra	85.23	00349f94	_ZN2Tz9JmNewInfo9isNaviNewEi	Tz::JmNewInfo::isNaviNew(int)		high
002ad258	220	loop	near	ghidra	92.38	00333bf8	_ZN2Tz10JmComplete10CheckAnsemEv	Tz::JmComplete::CheckAnsem()		high
